trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
59 9.1 8.7481 0.9613 44.1578 6.2194 2.8101 19.1921 3.421 -0.2246 -0.9999 0.9996 0.7142 1 0.8039 746.4909 608.4642 8.741 -0.3513
60 5.1 10.9114 2.1395 12.7392 4.1094 0.6526 9.9675 2.9266 -0.3641 -0.6815 0.3623 0.3607 0.9677 1 -2.3413 85.1596 4.4712 9.9533
61 12.3 42.291 3.4383 105.515 10.2442 0.507 37.5694 7.2998 0.1736 -1 0.9998 0.7557 0.5049 0.6386 700.2208 402.2576 26.6274 -32.8558
62 11.9 4.862 0.4086 78.5286 7.9322 0.6427 21.2841 5.8231 0.3747 -0.9852 0.9995 0.5083 0.7778 0.6835 184.2647 425.9652 -4.7554 1.0125
63 7.9 13.0291 1.6493 68.5989 11.6269 0.4038 39.208 10.2945 -0.4052 -0.9976 0.9691 0.4898 0.5085 0.9744 1016.1134 255.7975 12.918 -1.6974
64 6.3 52.532 8.3384 49.9208 11.6095 3.5231 22.6687 5.597 0.5665 0.1729 0.9681 0.2401 0 0.7391 631.3272 408.0777 52.5074 -1.6072
65 11.9 13.2895 1.1168 38.3201 3.8707 0.6545 13.7121 3.0587 0.8038 -0.06193 1 0.2376 1 0.3038 1015.0822 644.5341 13.2373 1.176
66 6.3 12.9435 2.0545 83.1375 19.3343 6.7542 42.9949 10.251 -0.2942 -0.5988 0.06102 0.1902 0 1 238.3271 359.1119 4.8675 11.9934
67 4.9 22.1166 4.5136 33.0916 11.4109 3.1212 19.2963 5.1822 -0.2695 -0.6337 0.2677 0.3126 0.1034 1 700.9154 339.0539 -20.4822 8.3439
68 4.9 2.6784 0.5466 31.5816 10.8902 0.4802 24.2756 7.3868 -0.2689 -0.8863 0.9057 0.692 1 0.8889 930.2328 25.6417 2.0343 1.7423
69 5.9 66.9348 11.3449 62.7432 16.088 3.7093 46.3718 9.4085 0.9154 0.7641 0.9999 0.08202 0 0 967.8953 724.1828 -0.1931 -66.9345
70 5.1 24.7469 4.8523 29.0193 9.3611 5.0685 16.5807 3.5188 0.08037 -0.0312 0.1466 0.05449 0 1 467.6014 123.0157 22.8132 9.59
71 7.5 3.2701 0.436 26.3231 4.786 0.7127 10.2285 2.9731 -0.1008 -0.9513 0.9868 0.6182 1 0.8857 189.9267 549.5841 -1.4915 2.9101
