trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
58 12.3 51.4281 4.1811 145.0171 14.0793 0 43.7243 10.5115 0.5252 -0.8755 0.9998 0.6443 0.1456 0.3373 367.0894 612.7398 -48.1 -18.2
59 9.1 5.9927 0.6585 44.2591 6.2337 3.25 18.9506 3.3819 -0.222 -1 0.9983 0.6981 1 0.8627 749.7088 605.1978 4.55 3.9
60 5.1 9.1924 1.8024 12.025 3.879 0 9.75 3.074 -0.9867 -1 -0.9487 0.02007 0.9677 1 0.09804 85.7647 1.3 9.1
61 12.3 36.4232 2.9612 103.9825 10.0954 0 37.0557 7.2327 0.1606 -1 0.9998 0.7413 0.5631 0.6506 704.6829 400.0569 20.8 -29.9
62 11.9 12.3329 1.0364 77.4446 7.8227 0 21.8017 5.9768 0.4705 -0.7399 1 0.4616 0.7677 0.6364 189.6218 423.6555 -11.7 3.9
63 7.9 9.8363 1.2451 68.0268 11.53 0 39 10.3165 -0.4677 -0.9998 0.9985 0.4662 0.5424 0.9744 1018.538 255.481 9.75 -1.3
64 6.3 49.4 7.8413 48.8548 11.3616 3.25 22.981 5.6624 0.5336 0.138 0.966 0.2541 0 0.7826 633.6825 406.9524 49.4 0
65 11.9 11.0691 0.9302 35.5655 3.5925 0 13.4001 3.2506 0.4732 -1 1 0.6561 1 0.5806 1018.7521 639.8697 8.45 7.15
66 6.3 13.0648 2.0738 82.915 19.2826 6.5 42.3748 10.0088 -0.2977 -0.6371 0.1234 0.2294 0 1 241.0952 358.3175 1.3 13
67 4.9 24.5025 5.0005 34.0586 11.7443 3.25 19.769 5.2944 -0.1673 -0.5487 0.3443 0.3063 0.1034 1 702.6633 338.5102 -22.75 9.1
68 4.9 0.65 0.1327 31.57 10.8862 0 24.7513 7.4372 -0.5413 -0.9899 0.6139 0.6469 1 1 931.7959 26.4796 0 0.65
69 5.9 63.1036 10.6955 60.7686 15.5817 3.25 46.1912 9.4245 0.9068 0.7381 0.9998 0.09116 0 0.05263 969.7458 721.3475 -2.6 -63.05
70 5.1 22.1096 4.3352 28.0809 9.0583 4.5962 16.5718 3.6664 -0.01107 -0.1225 0.05446 0.05597 0 1 469.6373 123.451 20.15 9.1
71 7.5 8.2731 1.1031 25.8658 4.7029 0 10.2774 3.1842 0.3086 -0.8 0.9971 0.4963 1 0.7059 193.2867 547.3 -5.85 5.85
72 11.3 11.9324 1.056 56.7526 6.1024 0 26.2023 4.7208 0.3314 -1 1 0.6667 1 0.6528 826.5044 179.1372 -10.4 5.85
73 5.1 41.0325 8.0456 50.1952 16.192 3.25 33.4608 8.9503 0.6148 0.2749 0.9039 0.1964 0 0.8182 572.3725 529.0294 -31.2 26.65
74 8.1 11.1262 1.3736 32.4909 5.3264 0 22.981 5.1925 0.7297 -1 1 0.4514 1 0.2821 239.8951 46.8519 11.05 1.3
75 6.9 63.902 9.2612 125.3928 25.5904 4.5962 44.2048 12.3136 0.6682 -0.1436 0.9999 0.394 0.06122 0.3793 896.7029 161.8261 -63.05 -10.4
76 5.5 22.5354 4.0973 35.0634 10.0181 3.25 21.8017 5.2118 0.7673 0.3667 0.9995 0.2464 0.8571 0.4 975.1909 266.0818 12.35 -18.85
77 10.9 37.5709 3.4469 49.9766 5.6154 0 14.5344 3.0065 0.8427 0.1029 1 0.1915 0.8202 0.2609 543.3578 71.1147 -29.9 -22.75
78 10.7 17.1605 1.6038 123.4466 14.1893 0 32.6621 8.9669 0.1138 -0.9878 0.9999 0.6113 0.3563 0.7761 517.5093 655.3645 7.15 -15.6
79 6.7 7.0007 1.0449 67.4804 14.3575 3.25 29.43 6.7384 -0.5752 -0.8253 -0.1653 0.2007 0.1489 1 489.0149 566.209 6.5 -2.6
80 10.1 21.2918 2.1081 85.4093 10.5444 0 29.9635 7.4765 -0.8114 -0.9976 0.14 0.2359 0.1728 1 647.0891 240.9455 20.8 -4.55
81 5.7 18.3157 3.2133 31.3422 8.4709 3.25 25.3833 5.461 0.7666 0.2631 0.9725 0.2359 0.4054 0.2353 510.4474 451.8333 8.45 -16.25
82 9.7 18.7489 1.9329 59.7859 7.7644 0 26 6.3652 0.5621 -0.6508 1 0.4794 1 0.5263 774.3505 466.4536 10.4 15.6
83 7.5 15.6271 2.0836 45.9987 8.3634 0 46.8722 8.9529 -0.04927 -0.9638 1 0.7518 0.8727 0.7188 829.6067 399.06 4.55 14.95
84 4.9 34.0305 6.945 39.1622 13.5042 3.25 29.9635 7.1708 0.8632 0.798 0.9124 0.03652 0.03448 0 317.051 302.8571 16.25 29.9
85 9.1 13.1615 1.4463 37.8612 5.3326 0 20.8102 4.1266 -0.1943 -0.9997 1 0.7588 1 0.7959 946.6978 44.3242 -7.15 11.05
86 6.5 9.7716 1.5033 26.5496 5.8999 0 14.5344 3.6238 -0.279 -0.9872 1 0.6395 1 0.92 613.0538 84.3 9.75 -0.65
87 5.3 26.0325 4.9118 58.2019 17.6369 3.25 39.1352 12.8102 0.6293 0.3065 0.9588 0.2402 0.2424 0.6154 154.0566 290.0377 26 -1.3
88 6.3 50.966 8.0898 67.5042 15.6986 3.25 29.9635 6.9617 0.63 -0.3464 0.9994 0.4354 0.04651 0.3913 948.1111 367.2857 -40.3 -31.2
89 8.7 2.7577 0.317 44.9774 6.713 0 18.3848 4.4752 0.01042 -0.9923 1 0.7161 0.9552 0.7609 848.7644 7.5805 -1.95 -1.95
90 5.7 14.3884 2.5243 37.573 10.1549 0 29.9635 7.8825 0.5654 0.1738 0.9959 0.2604 0.8108 0.7647 928.0965 705.3947 -13.65 4.55
91 7.9 45.5232 5.7624 89.6798 15.2 0 32.6621 8.3566 0.3169 -0.9985 0.9985 0.6797 0.4915 0.6154 348.4937 486.3734 7.8 44.85
92 7.9 23.3005 2.9494 70.0731 11.8768 3.25 40.7224 8.9421 0.04624 -1 1 0.8024 0.9153 0.6842 46.4873 549.6709 20.15 11.7
93 5.1 21.8501 4.2843 11.8388 3.819 0 17.5018 5.1454 0.04868 -1 0.7526 0.7275 0.8065 0.9091 1020.3627 553.0686 20.15 -8.45
94 7.9 31.53 3.9911 33.1595 5.6203 0 18.9506 3.9473 0.8697 0.6043 0.9998 0.1218 0.6441 0.2051 1012.7722 35.6519 7.8 -30.55
95 7.7 27.3696 3.5545 78.839 13.8314 3.25 35.0036 8.3383 -0.6461 -1 0.206 0.3861 0.3509 1 254.026 99.513 27.3 -1.95
96 4.7 5.36 1.1404 23.1128 8.5603 3.25 19.5 4.4014 -0.8344 -0.9388 -0.7124 0.06873 0.8889 1 918.8723 341.9362 -1.3 5.2
97 6.1 20.8102 3.4115 81.445 19.8646 6.5 29.9635 5.6592 -0.9129 -0.9988 -0.799 0.06593 0 1 102.2295 480.1885 5.2 20.15
